id,category,sub-category,district,circle,village,latitude,longitude,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,Where does the waste water generated from that asset goes to?,Are the premises of this asset cleaned with disinfectant regularly?,The Over Ground water tank is made up of which Material?,Are there any leakages on the tank structure?,What is the storage capacity of the tank?,What is the type of the material that is used to cover the roof of the tank?,How many pipes have been connected to the tank?,How many valves are visible to the pipes connected to the tank ?,Are there any water level indicators marked?,What is the frequency of technical maintenance or safety audit ?,,,,,,
3984.00,Water,Over Ground Tanks,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.56,93.85,kacha road,3g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,mixes with the near by water bodies,no,others,no,10000.00,steel,1.00,1.00,no,irregular,,,,,,
3993.00,Water,Over Ground Tanks,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.56,93.85,footway,3g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",others,mixes with the near by water bodies,no,bamboo,no,15000.00,tin sheets,1.00,1.00,no,others,,,,,,
3994.00,Water,Over Ground Tanks,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.56,93.85,footway,3g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none#others,mixes with the near by water bodies,no,bamboo,no,20000.00,steel,2.00,1.00,no,others,,,,,,
4075.00,Water,Over Ground Tanks,Lower Subansiri,Ziro,Kalong,27.59,93.84,pakka road,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,none,yes,others,no,1500.00,cement slabs,more than 4,more than 4,yes,yearly,,,,,,
4209.00,Water,Over Ground Tanks,Lower Subansiri,Ziro,Hija,27.59,93.89,pakka road,2g reliable,airtel#bsnl#vodafone,"pakka/permenant(steel,concrete,etc.,)",none,mixes with the near by water bodies,yes,concrete,no,10000.00,tin sheets,1.00,1.00,no,irregular,,,,,,
4333.00,Water,Over Ground Tanks,Lower Subansiri,Ziro,Bamin,27.57,93.83,pakka road,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,discarded in open field,no,others,no,5000.00,cement slabs,2.00,2.00,no,irregular,,,,,,
4475.00,Water,Over Ground Tanks,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.56,93.85,pakka road,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",others,mixes with the near by water bodies,no,concrete,no,2000.00,cement slabs,2.00,more than 4,no,others,,,,,,
4505.00,Water,Over Ground Tanks,Lower Subansiri,Ziro,Hija,27.61,93.86,pakka road,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,mixes with the near by water bodies,no,concrete,no,10000.00,tin sheets,2.00,2.00,no,never,,,,,,
4521.00,Water,Over Ground Tanks,Lower Subansiri,Ziro,Hija,27.60,93.78,kacha road,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,mixes with the near by water bodies,yes,concrete,yes,5000.00,tin sheets,2.00,2.00,no,irregular,,,,,,
4523.00,Water,Over Ground Tanks,Lower Subansiri,Ziro,Hija,27.58,93.90,kacha road,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,mixes with the near by water bodies,yes,concrete,no,5000.00,none,2.00,2.00,no,irregular,,,,,,
