id,category,sub-category,district,circle,village,latitude,longitude,What is the type of the road available to the asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,How far is this street light from the nearest substation or transformer ?,Which type of street light is this?,What is the system of street lights used?,Has the street light been installed with the help of APEDA ?
4695,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.5981,93.84361,footway,2g reliable,vodafone#bsnl#airtel,2.0,on-grid,traditional,no
4696,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.597959999999997,93.84441,pakka road,2g reliable,vodafone#bsnl#airtel,2.0,on-grid,traditional,no
4699,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.59736,93.84442,footway,2g reliable,vodafone#bsnl#airtel,2.0,on-grid,traditional,no
4700,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.5979,93.84418000000001,pakka road,2g reliable,vodafone#bsnl#airtel,2.0,on-grid,traditional,no
4701,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.5973,93.84408,footway,2g reliable,vodafone#bsnl#airtel,2.0,on-grid,traditional,no
4703,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.59715,93.84357,footway,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
4704,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.59692,93.84326999999999,footway,2g reliable,vodafone#bsnl#airtel,2.0,on-grid,traditional,no
4716,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.595540000000003,93.84545,pakka road,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
4725,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.59586,93.84562,kacha road,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
4727,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.5965,93.84571,kacha road,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
4729,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.597309999999997,93.84549,kacha road,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
4731,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.59808,93.84517,kacha road,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
4732,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.598329999999997,93.84496,kacha road,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
4860,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.584120000000002,93.84467,kacha road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
4863,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.58404,93.84429,kacha road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
4968,Energy & ICT,Street Light,Lower Subansiri,Ziro,Molyang (Tajang),27.555120000000002,93.8979,pakka road,2g unreliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
4971,Energy & ICT,Street Light,Lower Subansiri,Ziro,Molyang (Tajang),27.58434,93.86768000000001,pakka road,2g reliable,vodafone#bsnl#airtel,1.5,on-grid,traditional,no
4972,Energy & ICT,Street Light,Lower Subansiri,Ziro,Molyang (Tajang),27.6025,93.83053000000001,pakka road,2g reliable,vodafone#bsnl#airtel,1.5,on-grid,traditional,no
4997,Energy & ICT,Street Light,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.557609999999997,93.84865,pakka road,3g reliable,vodafone#bsnl#airtel,3.0,off- grid,traditional,no
5030,Energy & ICT,Street Light,Lower Subansiri,Ziro,Michi,27.570220000000003,93.82799999999999,kacha road,3g reliable,vodafone#bsnl#airtel,0.5,on-grid,solar,yes
5055,Energy & ICT,Street Light,Lower Subansiri,Ziro,Michi,27.570559999999997,93.82821,pakka road,3g reliable,vodafone#bsnl#airtel,0.5,on-grid,solar,yes
5060,Energy & ICT,Street Light,Lower Subansiri,Ziro,Michi,27.5706,93.82866,kacha road,3g reliable,vodafone#bsnl#airtel,0.5,on-grid,solar,yes
5062,Energy & ICT,Street Light,Lower Subansiri,Ziro,Michi,27.57055,93.82845999999999,pakka road,3g reliable,vodafone#bsnl#airtel,0.5,on-grid,solar,yes
5102,Energy & ICT,Street Light,Lower Subansiri,Ziro,Modang Tage,27.573790000000002,93.8312,pakka road,3g unreliable,vodafone#bsnl#airtel,5.0,on-grid,traditional,no
5112,Energy & ICT,Street Light,Lower Subansiri,Ziro,Modang Tage,27.5729,93.82899,pakka road,3g unreliable,vodafone#bsnl#airtel,5.0,on-grid,traditional,no
5202,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.59433,93.84382,pakka road,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5203,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.59442,93.84506,pakka road,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5205,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.594540000000002,93.84541999999999,pakka road,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5239,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.598190000000002,93.84614,pakka road,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5260,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.59555,93.84012,pakka road,2g reliable,vodafone#bsnl#airtel,1.0,off- grid,traditional,no
5262,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.59545,93.84037,pakka road,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5267,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.59556,93.8409,footway,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5268,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.59563,93.84073000000001,footway,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5270,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.5956,93.84121999999999,footway,2g reliable,vodafone#airtel#bsnl,1.0,on-grid,traditional,no
5272,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.59491,93.84085999999999,footway,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5273,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.594920000000002,93.84064000000001,footway,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5274,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.594959999999997,93.84045,footway,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5276,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.594820000000002,93.8401,footway,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5278,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.594590000000004,93.8398,footway,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5280,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.594440000000002,93.84008,footway,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5281,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.59458,93.8407,footway,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5284,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.59403,93.84058,footway,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5285,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.59426,93.8409,footway,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5286,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.594620000000003,93.84040999999999,footway,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5287,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.594079999999998,93.84100000000001,footway,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5291,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.59461,93.84129,kacha road,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5293,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.594070000000002,93.8415,kacha road,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5294,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.59396,93.8414,footway,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5345,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hong,27.56035,93.84931999999999,kacha road,2g reliable,vodafone#bsnl#airtel,1.0,off- grid,solar,yes
5421,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.586,93.84448,kacha road,2g unreliable,vodafone#bsnl#airtel,0.0,on-grid,traditional,no
5425,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.58629,93.84486,kacha road,2g unreliable,vodafone#bsnl#airtel,0.0,on-grid,traditional,no
5468,Energy & ICT,Street Light,Lower Subansiri,Ziro,Kalong,27.589540000000003,93.8428,footway,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
5763,Energy & ICT,Street Light,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.55759,93.84945,pakka road,3g reliable,vodafone#bsnl#airtel,3.0,off- grid,traditional,no
5765,Energy & ICT,Street Light,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.557170000000003,93.84955,pakka road,3g reliable,vodafone#bsnl#airtel,3.0,off- grid,traditional,no
5805,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.583029999999997,93.84431,kacha road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
5807,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.58363,93.84424,kacha road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
5875,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.58053,93.84525,pakka road,2g unreliable,vodafone#bsnl#airtel,0.0,on-grid,traditional,no
5889,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.581229999999998,93.84539000000001,kacha road,2g unreliable,vodafone#bsnl#airtel,0.0,on-grid,traditional,no
5895,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.581229999999998,93.84572,kacha road,2g unreliable,vodafone#bsnl#airtel,0.0,on-grid,traditional,no
5900,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.58059,93.84640999999999,kacha road,2g unreliable,vodafone#bsnl#airtel,0.0,on-grid,traditional,no
5905,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.58114,93.84643,kacha road,2g unreliable,vodafone#bsnl#airtel,0.0,on-grid,traditional,no
5925,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.582959999999996,93.84478,kacha road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
5926,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.583029999999997,93.84427,kacha road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
5940,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.58292,93.84329,kacha road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
5943,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.58297,93.8436,kacha road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
5944,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.58278,93.84305,pakka road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
5998,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.58192,93.8431,kacha road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
6001,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.582109999999997,93.84338000000001,pakka road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
6005,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.582340000000002,93.84382,pakka road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
6012,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.5825,93.84358,pakka road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
6024,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.582340000000002,93.84382,pakka road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
6026,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.5825,93.84358,pakka road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
6070,Energy & ICT,Street Light,Papumpare,Itanagar,Ganga,27.08615,93.59527,pakka road,4g+ reliable,vodafone#idea#bsnl#jio#airtel#others,0.6,on-grid,solar,yes
6076,Energy & ICT,Street Light,Papumpare,Itanagar,Ganga,27.087190000000003,93.59509,pakka road,4g+ reliable,vodafone#bsnl#jio#airtel,1.5,on-grid,solar,yes
6091,Energy & ICT,Street Light,Papumpare,Itanagar,Ganga,27.087290000000003,93.59239000000001,pakka road,4g+ reliable,vodafone#bsnl#jio#airtel,2.0,on-grid,solar,yes
6095,Energy & ICT,Street Light,Papumpare,Itanagar,Ganga,27.087320000000002,93.59206999999999,pakka road,4g+ reliable,vodafone#idea#bsnl#jio#airtel#others,2.0,on-grid,solar,yes
6151,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.597590000000004,93.85540999999999,kacha road,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
6152,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.59801,93.85556,kacha road,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
6154,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.584259999999997,93.84281999999999,pakka road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
6160,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.58445,93.84305,pakka road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
6161,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.584490000000002,93.84308,pakka road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
6162,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.584609999999998,93.8432,pakka road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
6165,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.58434,93.84331999999999,pakka road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
6189,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.58186,93.8392,kacha road,2g unreliable,vodafone#bsnl#airtel,0.0,on-grid,traditional,no
6203,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.584290000000003,93.8438,pakka road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
6204,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.58398,93.84408,pakka road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
6246,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.58425,93.84371,pakka road,2g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
