id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,Where does the waste water generated from that asset goes to?,What are the other mechanism used to collect the waste water ?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,The Over Ground water tank is made up of which Material?,Are there any leakages on the tank structure?,What is the storage capacity of the tank?,What is the type of the material that is used to cover the roof of the tank?,How many pipes have been connected to the tank?,How many valves are visible to the pipes connected to the tank ?,Are there any water level indicators marked?,What is the frequency of technical maintenance or safety audit ?,,,,,,,,,,,,,,,,,,,
1743,2019-02-27 06:46:30,Water,Over Ground Tanks,nong tayeng,Government,In Use,East Siang,Mebo,Mebo,28.16878,95.42678,Approved,https://smartvillage.imagetrekk.com/storage/images/MIUC7omAadF68vsC6OkOZdhz9IvIb8mL1uxTeOKS.jpeg?asset_id=1743,need proper covering of the over ground tanks,Pakka Road,4G Reliable,"[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Technical Support"",""Financial Support""]",Discarded in Govt. designated structures,,Yes,1,Concrete,No,40000,None,2,2,No,Monthly,,,,,,,,,,,,,,,,,,,
1756,2019-02-27 08:10:34,Water,Over Ground Tanks,nong tayeng,Government,In Use,East Siang,Mebo,Mebo,28.16872,95.42678,Approved,https://smartvillage.imagetrekk.com/storage/images/avklVtUzDHATlHn6JORlWLUMsg0nI5UO0kH9268B.jpeg?asset_id=1756,need proper maintenance,Pakka Road,4G Reliable,"[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Financial Support"",""Technical Support""]",Discarded in Govt. designated structures,,Yes,1,Concrete,No,20000,None,2,1,No,Monthly,,,,,,,,,,,,,,,,,,,
1757,2019-02-27 08:11:07,Water,Over Ground Tanks,nong tayeng,Government,In Use,East Siang,Mebo,Mebo,28.16837,95.4268,Approved,https://smartvillage.imagetrekk.com/storage/images/w9nianqhwigGIRqhLxHQLCnfytFgvCPtVHFWiawS.jpeg?asset_id=1757,need proper maintenance,Pakka Road,4G Reliable,"[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Financial Support"",""Technical Support""]",Discarded in Govt. designated structures,,Yes,1,Concrete,Yes,20000,Cement Slabs,2,1,No,Monthly,,,,,,,,,,,,,,,,,,,
1765,2019-02-27 11:07:18,Water,Over Ground Tanks,administrator,Government,In Use,East Siang,Oyan,Murali,27.91068,95.27329,Approved,https://smartvillage.imagetrekk.com/storage/images/MT7eTvUqn1FDJrBvmFncLnFQ96JDiJbgwzy7dRsn.jpeg?asset_id=1765,done,Kacha Road,3G Reliable,"[""Jio"",""Idea""]","[""Jio"",""Idea""]","[""Jio"",""Idea""]","[""Jio"",""Idea""]","[""Jio"",""Idea""]","[""Jio"",""Idea""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Support via Subsidies"",""Support via Schemes""]",None,,No,,Concrete,No,3000,Cement Slabs,2,2,Yes,Yearly,,,,,,,,,,,,,,,,,,,
1819,2019-02-28 18:38:21,Water,Over Ground Tanks,takam nilly likha,Government,Repairable,Lower Subansiri,Pistana,Did,27.59667,93.67921,Approved,https://smartvillage.imagetrekk.com/storage/images/qZLwd1BF6w7EYeMyWZQqofLY9oZcPehHeAJyAXGT.jpeg?asset_id=1819,water tank needs maintenance,Kacha Road,4G Unreliable,"[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Financial Support"",""Technical Support""]",None,,Yes,2,Concrete,No,80000,Tin sheets,More than 4,1,No,Others,,,,,,,,,,,,,,,,,,,
1837,2019-02-28 18:39:04,Water,Over Ground Tanks,takam nilly likha,Government,Repairable,Lower Subansiri,Pistana,Did,27.60131,93.66932,Approved,https://smartvillage.imagetrekk.com/storage/images/gSbZzZQq0DSDwffLuQnlz1RtAKvS7f98f4xB092G.jpeg?asset_id=1837,it is very poor condition,Kacha Road,Nil,,,,,,,"Pakka/Permenant(Steel,Concrete,etc.,)","[""Financial Support""]",Mixes with the near by Water Bodies,,No,,Concrete,Yes,600,Steel,1,1,No,Irregular,,,,,,,,,,,,,,,,,,,
1841,2019-02-28 18:39:13,Water,Over Ground Tanks,takam nilly likha,Government,In Use,Lower Subansiri,Pistana,Did,27.5968,93.67448,Approved,https://smartvillage.imagetrekk.com/storage/images/a1bkwwjpaaPo9lDGVhJ79Gnml4klxv7SpUGp0FeG.jpeg?asset_id=1841,maintenance needed,Kacha Road,4G Unreliable,"[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Financial Support"",""Technical Support""]",None,,Yes,2,Concrete,No,10000,Tin sheets,1,More than 4,No,Monthly,,,,,,,,,,,,,,,,,,,
1919,2019-03-03 03:11:18,Water,Over Ground Tanks,punyo yabyang,Government,In Use,Lower Subansiri,Ziro,Hong,27.55929,93.84616,Approved,https://smartvillage.imagetrekk.com/storage/images/ecABIqBkRj6v7XhIGTUFvA2AA3wYrY2lhxmdjoQ3.jpeg?asset_id=1919,water tank1,Kacha Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Support via Schemes""]",Mixes with the near by Water Bodies,,No,,Concrete,No,5000,Cement Slabs,2,2,No,Yearly,,,,,,,,,,,,,,,,,,,
1920,2019-03-03 03:11:20,Water,Over Ground Tanks,punyo yabyang,Government,In Use,Lower Subansiri,Ziro,Hong,27.55699,93.84596,Approved,https://smartvillage.imagetrekk.com/storage/images/9UF6gGcBDe9jx56aMRt7GeqtbgTKNmeHiiSQLryw.jpeg?asset_id=1920,Water Tank 2,Pakka Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Support via Schemes""]",Mixes with the near by Water Bodies,,No,,Concrete,Yes,3000,Cement Slabs,2,2,No,Yearly,,,,,,,,,,,,,,,,,,,
1924,2019-03-03 03:11:22,Water,Over Ground Tanks,punyo yabyang,Government,In Use,Lower Subansiri,Ziro,Hong,27.56466,93.84624,Approved,https://smartvillage.imagetrekk.com/storage/images/eokCtxvP2GkNULmiC3Pio4l3oN0afDr6ZGwErVEI.jpeg?asset_id=1924,Water Tank 3,Pakka Road,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Support via Schemes""]",Mixes with the near by Water Bodies,,No,,Concrete,No,2000,Cement Slabs,2,2,No,Yearly,,,,,,,,,,,,,,,,,,,
2395,2019-03-13 08:58:32,Water,Over Ground Tanks,tage tajung,Government,In Use,Lower Subansiri,Ziro,Modang Tage,27.56927,93.86793,Approved,https://smartvillage.imagetrekk.com/storage/images/k61YiFJ7jDiPPzUwuqDKuu5TeP1gGiVaclidB89s.jpeg?asset_id=2395,using for drinking water.,Pakka Road,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Technical Support""]",Mixes with the near by Water Bodies,,Yes,2,Concrete,Yes,10000,Tin sheets,More than 4,More than 4,No,Never,,,,,,,,,,,,,,,,,,,
