id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available to the asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,How far is this street light from the nearest substation or transformer ?,Which type of street light is this?,What is the system of street lights used?,Has the street light been installed with the help of APEDA ?
3579,2019-05-06 10:02:04,Energy & ICT,Street Light,taakhe rakesh,Government,In Use,Lower Subansiri,Ziro,Hong,27.55768,93.83824,Approved,https://smartvillage.imagetrekk.com/storage/images/TTDy6cghAyrCBKlq2iPKeW8SpORQisijMrJBN80T.jpeg?asset_id=3579,working,Kacha Road,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",1,Off- grid,Traditional,Yes
3581,2019-05-06 10:08:20,Energy & ICT,Street Light,taakhe rakesh,Government,In Use,Lower Subansiri,Ziro,Hong,27.55752,93.83806,Approved,https://smartvillage.imagetrekk.com/storage/images/YItcs86ELKkBJQC2dHFTBTlsjrRwc3HU7eHtPmrR.jpeg?asset_id=3581,working,Kacha Road,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",1,Off- grid,Traditional,Yes
3584,2019-05-06 10:17:17,Energy & ICT,Street Light,taakhe rakesh,Government,In Use,Lower Subansiri,Ziro,Hong,27.55672,93.83995,Approved,https://smartvillage.imagetrekk.com/storage/images/6yax5YNqsNi6oKROjkUdzOzb2pQe44BXYwlfA6Sc.jpeg?asset_id=3584,working,Kacha Road,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",1,Off- grid,Traditional,No
3586,2019-05-06 10:22:15,Energy & ICT,Street Light,taakhe rakesh,Government,In Use,Lower Subansiri,Ziro,Hong,27.55712,93.83869,Approved,https://smartvillage.imagetrekk.com/storage/images/ZfPLuNVoHwYC54KKDTnFjeaSL2AmmsCYiNWXehXA.jpeg?asset_id=3586,working,Kacha Road,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",1,Off- grid,Traditional,Yes
3588,2019-05-06 10:24:35,Energy & ICT,Street Light,taakhe rakesh,Government,In Use,Lower Subansiri,Ziro,Hong,27.55648,93.83869,Approved,https://smartvillage.imagetrekk.com/storage/images/oIwrg536JI0se2CF8oNXZKRMhm2XdVZfEr4b0YY9.jpeg?asset_id=3588,working,Kacha Road,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",1,Off- grid,Traditional,No
3602,2019-05-06 10:36:40,Energy & ICT,Street Light,tenjin yeshii,Government,In Use,Tawang,Lumla,Manpat,27.53133,91.71386,Approved,https://smartvillage.imagetrekk.com/storage/images/vtACiaydnyTExjPlSbUeMfp1OhNwIehOMxXVPgeN.jpeg?asset_id=3602,street light,Pakka Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0.6,On-grid,Traditional,No
3603,2019-05-06 10:36:40,Energy & ICT,Street Light,tenjin yeshii,Government,Not in Use,Tawang,Lumla,Manpat,27.53278,91.71416,Approved,https://smartvillage.imagetrekk.com/storage/images/TLmkKFMenY9J2Bb5l20eJABQ822Jyp32rShsMYS7.jpeg?asset_id=3603,street light,Pakka Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0.9,On-grid,Traditional,No
3604,2019-05-06 10:36:41,Energy & ICT,Street Light,tenjin yeshii,Government,Not in Use,Tawang,Lumla,Manpat,27.53194,91.71348,Approved,https://smartvillage.imagetrekk.com/storage/images/BcwqTz9VlJcNMNpB4gKrT1iuHm9LofnMp59VVrou.jpeg?asset_id=3604,street lights,Pakka Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0.7,On-grid,Traditional,No
3605,2019-05-06 10:36:46,Energy & ICT,Street Light,tenjin yeshii,Government,Not in Use,Tawang,Lumla,Manpat,27.53305,91.71475,Approved,https://smartvillage.imagetrekk.com/storage/images/1uCtnvkE2uWkv7TysfqgBfnn5u0l2TPJCvw1yBXK.jpeg?asset_id=3605,street light,Pakka Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0.9,On-grid,Traditional,No
3606,2019-05-06 11:00:51,Energy & ICT,Street Light,tenjin yeshii,Government,In Use,Tawang,Lumla,Manpat,27.53091,91.71374,Approved,https://smartvillage.imagetrekk.com/storage/images/miIZKAAWMTZHRw3EaLAOOPXkec1CLO4PrapzdMGg.jpeg?asset_id=3606,street light,Pakka Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0.3,On-grid,Traditional,No
