id,category,sub-category,district,circle,village,latitude,longitude,accessibility,infrastructure,availability,employability,water,sanitation,energy,alternate_energy,communication,record_maintenance,govt_support,ngo_support,digital_technologies,classification,marketing,inventory,food_wastage,operations,products,customers,logistics,overall score
4762,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.57463,93.81558000000001,50.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,37.2743
4763,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.60472,93.83553,50.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,37.2743
4764,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.608259999999998,93.8495,50.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,37.2743
4765,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.64541,93.86346999999999,50.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,37.2743
4766,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.588790000000003,93.86946,50.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,37.2743
4769,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.60649,93.82955,35.8333,50.0,50.0,32.0,32.5,5.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,32.6243
4770,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.57287,93.8515,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,35.0243
4771,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.608259999999998,93.84352,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,35.0243
4772,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.5941,93.87345,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,35.0243
4773,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.62418,93.86746,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,35.0243
4774,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.61533,93.83753,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,35.0243
4775,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.62241,93.8495,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,35.0243
4777,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.60472,93.86346999999999,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,35.0243
4911,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.60118,93.91535999999999,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,30.0,95.0,50.0,20.0,23.0769,36.5474
4918,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.590559999999996,93.87744,50.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,30.0,95.0,25.0,20.0,0.0,36.8743
4919,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.6118,93.90139,50.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,30.0,95.0,25.0,20.0,0.0,36.8743
4921,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.6118,93.90139,50.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,30.0,95.0,25.0,20.0,0.0,36.8743
4926,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.54631,93.8495,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,30.0,95.0,25.0,20.0,0.0,34.6243
4927,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.61003,93.8515,50.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,30.0,95.0,25.0,20.0,0.0,36.8743
4928,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.62772,93.89141,50.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,30.0,95.0,25.0,20.0,0.0,36.8743
4929,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.583479999999998,93.86946,50.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,30.0,95.0,25.0,20.0,0.0,36.8743
4933,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.583479999999998,93.83354,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,30.0,95.0,25.0,20.0,0.0,34.6243
4934,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.62418,93.86148,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,30.0,95.0,25.0,20.0,0.0,34.6243
4935,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.588790000000003,93.92135,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,30.0,95.0,25.0,20.0,0.0,34.6243
4936,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.59941,93.90937,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,30.0,95.0,25.0,20.0,0.0,34.6243
