id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go to the unit until it was open?,What is the type of the road available to the unit?,How much distance should one travel from the unit to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the unit?,What are different Mobile network service providers available at the location of the unit?,What is the type of structure of the unit?,What is the type of security available for the unit?,What are the working hours of the unit?(Ex: 9.00A.M-5.A.M),What are the working days of the unit?,How many Technical staff are employed in the unit?,How many Non Technical staff are employed in the unit?,Where do you get drinking water from for using at the unit?,Where do you get water for operational purposes for the unit?,Are there toilets available for public and employees' usage at the unit?,How do you deal with the agricultural waste generated from the unit?,Are the premises of unit cleaned with disinfectant regularly?,How frequently are the premises at the unit cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the unit?,How many hours per day are you facing power cuts in the unit?,What is the alternative energy source available for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,Is there landline connectivity for the unit?,Does the unit have wired internet connection?,How do you maintain records for operations of the unit?,What are the areas the unit gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the unit?,Are you using any digital technologies that can be used in the unit?,What is the type of products stored in the unit?,How does the unit advertise about the services available?,What is the average operational cost per month to run the unit?(Excluding Salary of the Employees),What are the products purchased by the customers from the unit?,What is the average cost per unit to store in the unit?(In Rupees),Which type of customers store the produce in the unit?,How does the customers transport the goods to store in the unit?,How many cubic meters are available for storage?,Do you have a cold storage facility?,How often did you need to throw away agricultural produce last week?,How do you document wastage of food?
6127,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Reru,27.59744,93.84039,1,footway,1.0,2g reliable,airtel#vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,480,monday#tuesday#wednesday#thursday#friday#saturday#sunday,1,1,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,others,others,0,on harvesting,1-100,farmers,head load,12.0,no,1,none
6129,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Reru,27.597590000000004,93.84015,1,footway,1.0,2g reliable,airtel#vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,540,monday#tuesday#wednesday#thursday#friday#saturday#sunday,1,1,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,others,others,0,on harvesting,1-100,farmers,head load,12.0,no,1,none
6130,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Reru,27.597590000000004,93.84009,1,footway,1.0,2g reliable,airtel#vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,540,monday#tuesday#wednesday#thursday#friday#saturday#sunday,1,1,ground water,ground water,no,burnt within the premises,no,N/A,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,others,others,0,on harvesting,1-100,farmers,head load,12.0,no,1,none
6131,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Reru,27.59758,93.84028,1,footway,1.0,2g reliable,airtel#vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,540,tuesday#wednesday#monday#thursday#friday#saturday#sunday,1,1,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,others,others,0,on harvesting,1-100,farmers,head load,10.0,no,1,none
6132,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Reru,27.597690000000004,93.84028,1,footway,1.0,2g reliable,bsnl#vodafone#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,540,monday#tuesday#wednesday#thursday#friday#saturday#sunday,1,1,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,others,others,0,on harvesting,1-100,farmers,head load,10.0,no,1,none
6133,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Reru,27.59793,93.84072,1,pakka road,1.0,2g reliable,airtel#vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,540,saturday#friday#thursday#wednesday#tuesday#monday#sunday,1,1,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,others,others,0,on harvesting,1-100,farmers,head load,12.0,no,1,none
6134,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Reru,27.59804,93.84064,1,footway,1.0,2g reliable,airtel#vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,600,monday#tuesday#wednesday#thursday#friday#saturday#sunday,1,1,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,others,others,0,on harvesting,1-100,farmers,head load,12.0,no,1,none
6135,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Reru,27.59871,93.84022,1,footway,1.0,2g reliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,600,monday#tuesday#wednesday#thursday#friday#sunday#saturday,1,1,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,others,others,0,on harvesting,1-100,farmers,head load,12.0,no,1,none
6136,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Reru,27.59871,93.84032,1,footway,1.0,2g reliable,airtel#vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,600,monday#tuesday#wednesday#thursday#saturday#friday#sunday,1,1,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,others,others,0,on harvesting,1-100,farmers,head load,12.0,no,1,none
6137,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Reru,27.5987,93.84026,1,footway,1.0,2g reliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,600,monday#tuesday#wednesday#thursday#friday#saturday#sunday,1,1,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,others,others,0,on harvesting,1-100,farmers,head load,12.0,no,1,none
