id,category,sub-category,district,circle,village,latitude,longitude,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the working hours of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,Where does the waste water generated from that asset goes to?,Are the premises of this asset cleaned with disinfectant regularly?,Is that Tap in working condition?,Is check valve working in the tap ?,How far is the tap from the water tank/Source ?,What is the diameter of the Pipe ?,How many Taps are connected to one standpod?,What is the length of the service tap?,What is the basement/ foundation is made of ?,Is there any rust on the tap ?,Were people drinking water while you visited this spot?,Are there any charges which come when getting water from this tap?,What is the frequency of technical maintenance or safety audit ?
3260,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hari,27.58371,93.84414,pakka road,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,support via schemes,1,1,discarded in govt. designated structures,no,yes,yes,between 200-500 meters,12mm,1,1,cement,yes,yes,yes,irregular
3945,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Reru,27.59778,93.84332,pakka road,2g reliable,airtel#bsnl#vodafone,"pakka/permenant(steel,concrete,etc.,)",none,1440,financial support#technical support,100,9,discarded in open field,yes,yes,yes,below 200 meters,12mm,1,15,cement,no,yes,no,monthly
3946,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Reru,27.59758,93.84374,footway,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,720,technical support,10,9,none,yes,yes,yes,below 200 meters,12mm,1,12,cement,no,yes,no,monthly
3948,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Reru,27.59838,93.84342,kacha road,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,financial support,100,9,none,no,no,yes,below 200 meters,12mm,>4,15,cement,no,yes,no,never
3978,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.5574,93.84839,pakka road,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,support via schemes,2,1,mixes with the near by water bodies,yes,yes,yes,below 200 meters,12mm,2,2,cement#bricks,yes,yes,no,never
3983,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.55706,93.84798,kacha road,3g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,720,others,1,0,mixes with the near by water bodies,no,yes,yes,below 200 meters,12mm,1,3,cement,no,yes,no,others
4004,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.55823,93.84805,pakka road,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,others,1,0,others,yes,yes,yes,below 200 meters,12mm,1,0,others,no,yes,yes,others
4053,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hija,27.60649,93.84551,kacha road with block point,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,720,none,1,0,mixes with the near by water bodies,yes,yes,yes,below 200 meters,12mm,1,1,cement,yes,yes,no,irregular
4066,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Reru,27.59733,93.84435,footway,2g reliable,airtel#bsnl#vodafone,"pakka/permenant(steel,concrete,etc.,)",none,480,none,15,9,none,yes,yes,yes,below 200 meters,12mm,2,20,cement,no,yes,no,yearly
4068,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Reru,27.59821,93.84055,footway,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,420,none,15,9,none,yes,yes,yes,above 500 meters,others,1,30,cement,yes,yes,no,monthly
4070,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Kalong,27.59482,93.84012,footway,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,420,others,15,9,none,yes,yes,yes,above 500 meters,others,1,30,cement,no,yes,no,monthly
4071,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Kalong,27.59463,93.8403,footway,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,420,none,15,9,none,yes,yes,yes,above 500 meters,others,1,25,cement,no,yes,no,monthly
4077,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Kalong,27.59545,93.84093,footway,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,420,none,15,9,none,yes,yes,yes,above 500 meters,others,1,20,cement,no,yes,no,monthly
4078,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Kalong,27.59494,93.84103,pakka road,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,none,20,10,none,yes,yes,yes,below 200 meters,12mm,2,5,cement,no,yes,no,monthly
